Dist Code,Location,Name Of City,State Code,State Name,0-6 Population Female,0-6 Population Male,0-6 Population Total,Child Sex Ratio,Effective Literacy Rate Female,Effective Literacy Rate Male,Effective Literacy Rate Total,Female Graduates,Literate Ratio,Literates Female,Literates Male,Literates Total,Male Graduates,Population Female,Population Male,Population Ratio,Population Total,Sex Ratio,Total Graduates
9,30.14529287,Abohar,3,PUNJAB,7283,8587,15870,848,73.59,85.49,79.86,7675,1.297407276,44972,58347,103319,8612,68398,76840,1.123424662,145238,890,16287
7,21.25758477,Achalpur,27,MAHARASHTRA,5624,6186,11810,909,89,94.77,91.99,3594,1.145314023,43086,49347,92433,5269,54037,58256,1.078076133,112293,928,8863
1,19.08090758,Adilabad,28,ANDHRA PRADESH,6372,6731,13103,947,72.73,88.18,80.51,3768,1.22928837,37660,46295,83955,6797,58156,59232,1.01850196,117388,982,10565
24,22.78347419,Adityapur,20,JHARKHAND,10979,12063,23042,910,76.23,89.98,83.46,7036,1.311015317,54515,71470,125985,12189,82493,91495,1.109124411,173988,902,19225
21,15.63222278,Adoni,28,ANDHRA PRADESH,9051,9355,18406,968,60.33,76.58,68.38,4031,1.246490275,45089,56203,101292,7871,83794,82743,0.987457336,166537,1013,11902
1,23.83145791,Agartala,16,TRIPURA,16294,17341,33635,940,92.02,95.75,93.88,22496,1.032020768,169109,174524,343633,30215,200072,199616,0.997720821,399688,1002,52711
15,27.17667018,Agra,9,UTTAR PRADESH,81237,105279,186516,772,58.54,67.67,63.44,79731,1.33732829,376725,503805,880530,106082,724771,849771,1.172468269,1574542,853,185813
7,23.02250572,Ahmadabad,24,GUJARAT,271159,317917,589076,853,84.81,93.96,89.62,334591,1.227162656,2004480,2459823,4464303,435267,2634716,2935869,1.114301883,5570585,897,769858
26,19.09520757,Ahmadnagar,27,MAHARASHTRA,16964,19748,36712,859,87.33,95.51,91.49,21829,1.134943446,134649,152819,287468,29832,171150,179755,1.050277534,350905,952,51661
3,23.72710792,Aizawl,15,MIZORAM,17480,17667,35147,989,98.31,99.3,98.8,11932,0.97603092,128332,125256,253588,14900,148019,143803,0.97151717,291822,1029,26832
21,26.44989547,Ajmer,8,RAJASTHAN,27890,31547,59437,884,81.53,93.26,87.53,35535,1.198926828,192327,230586,422913,42454,263794,278786,1.056832225,542580,946,77989
47,26.44074688,Akbarpur,9,UTTAR PRADESH,6790,7247,14037,937,69.54,83.89,76.94,3934,1.28471419,32854,42208,75062,5811,54034,57560,1.06525521,111594,939,9745
5,20.70593458,Akola,27,MAHARASHTRA,22012,24488,46500,899,87.77,94.78,91.34,20903,1.118841145,164093,183594,347687,28812,208962,218184,1.044132426,427146,958,49715
3,12.99748738,Alandur,33,TAMIL NADU,7150,7336,14486,975,93.1,97.2,95.15,20508,1.044430089,69660,72755,142415,25463,81972,82190,1.002659445,164162,997,45971
11,9.498066776,Alappuzha,32,KERALA,7500,7934,15434,945,95.21,98.03,96.56,12363,0.944667893,78815,74454,153269,9900,90276,83888,0.929239222,174164,1076,22263
12,27.89739448,Aligarh,9,UTTAR PRADESH,53038,60620,113658,875,64.55,75.5,70.36,43376,1.320766854,230083,303886,533969,55965,409452,463123,1.131080078,872575,884,99341
44,25.43580118,Allahabad,9,UTTAR PRADESH,47896,54660,102556,876,82.17,90.21,86.5,94881,1.282959036,384409,493181,877590,138248,515731,601363,1.166040048,1117094,858,233129
6,27.55299078,Alwar,8,RAJASTHAN,15714,18862,34576,833,79.05,93.72,86.78,23467,1.322602172,104897,138737,243634,35297,148410,166900,1.124587292,315310,889,58764
2,30.37817888,Ambala,6,HARYANA,8932,10713,19645,834,84.51,91.58,88.23,17134,1.201028597,70776,85004,155780,17809,92683,103533,1.117065697,196216,895,34943
2,30.32487088,Ambala Sadar,6,HARYANA,4407,5239,9646,841,87.22,88.66,87.97,9929,1.091777242,39792,43444,83236,10689,50027,54241,1.084234513,104268,922,20618
21,19.18251677,Ambarnath,27,MAHARASHTRA,13059,14406,27465,906,83.78,93.82,89.04,12152,1.230433244,90434,111273,201707,14444,120997,133006,1.099250395,254003,910,26596
1,13.11431678,Ambattur,33,TAMIL NADU,22151,23065,45216,960,89.62,95.71,92.69,44962,1.084377029,192505,208748,401253,52224,236953,241181,1.017843201,478134,982,97186
2,23.13549218,Ambikapur,22,CHHATTISGARH,6108,6887,12995,887,83.29,92.73,88.2,8488,1.204478346,40640,48950,89590,12369,54902,59673,1.086900295,114575,920,20857
4,12.79036138,Ambur,33,TAMIL NADU,5934,6216,12150,955,82.65,91.18,86.83,2737,1.059925356,42870,45439,88309,5076,57804,56052,0.969690679,113856,1031,7813
7,20.93742388,Amravati,27,MAHARASHTRA,29784,32713,62497,910,90.44,95.52,93.03,40540,1.098086291,259078,284490,543568,51456,316257,330544,1.045175285,646801,957,91996
